BUND/LAND	GERICHTSBEZEICHNUNG	ECLI-GERICHTSCOD
Rheinland-Pfalz	Landgericht Landau in der Pfalz	LGLANPF
Rheinland-Pfalz	Landgericht Mainz	LGMAINZ
Rheinland-Pfalz	Landgericht Trier	LGTRIER
Rheinland-Pfalz	Landgericht Zweibrücken	LGZWEIB
Rheinland-Pfalz	Oberlandesgericht Koblenz	OLGKOBL
Rheinland-Pfalz	Oberverwaltungsgericht Rheinland-Pfalz	OVGRLP
Rheinland-Pfalz	Pfälzisches Oberlandesgericht Zweibrücken	POLGZWE
Rheinland-Pfalz	Sozialgericht Koblenz	SGKOBLE
Rheinland-Pfalz	Sozialgericht Mainz	SGMAINZ
Rheinland-Pfalz	Sozialgericht Speyer	SGSPEYE
Rheinland-Pfalz	Sozialgericht Trier	SGTRIER
Rheinland-Pfalz	Verfassungsgerichtshof Rheinland-Pfalz	VERFGRP
Rheinland-Pfalz	Verwaltungsgericht Koblenz	VGKOBLE
Rheinland-Pfalz	Verwaltungsgericht Mainz	VGMAINZ
Rheinland-Pfalz	Verwaltungsgericht Neustadt an der Weinstraße	VGNEUST
Rheinland-Pfalz	Verwaltungsgericht Trier	VGTRIER
Saarland	Amtsgericht Merzig	AGMERZI
Saarland	Amtsgericht Neunkirchen	AGNEUNK
Saarland	Amtsgericht Ottweiler	AGOTTWE
Saarland	Amtsgericht Saarbrücken	AGSB
Saarland	Amtsgericht Saarlouis	AGSAARL
Saarland	Amtsgericht Sankt Ingbert	AGSTING
Saarland	Amtsgericht Homburg	AGHOM
Saarland	Amtsgericht St. Wendel	AGSTWEN
Saarland	Amtsgericht Lebach	AGLEB
Saarland	Amtsgericht Völklingen	AGVOELK
Saarland	Arbeitsgericht Neunkirchen	ARBGNK
Saarland	Arbeitsgericht Saarbrücken	ARBGSA1
Saarland	Arbeitsgericht Saarlouis	ARBGSA2
Saarland	Finanzgericht des Saarlandes	FGSL
Saarland	Landesarbeitsgericht Saarland Saarbrücken	LAGSL
Saarland	Landessozialgericht für das Saarland	LSGSL
Saarland	Landgericht Saarbrücken	LGSAARB
Saarland	Oberverwaltungsgericht des Saarlandes	OVGSL
Saarland	Saarländisches Oberlandesgericht Saarbrücken	OLGSL
Saarland	Sozialgericht für das Saarland	SGSL
Saarland	Verfassungsgerichtshof des Saarlandes	VGHSL
Saarland	Verwaltungsgericht des Saarlandes Saarlouis	VGSL
Sachsen	Amtsgericht Aue	AGAUE
Sachsen	Amtsgericht Auerbach	AGAUERB
Sachsen	Amtsgericht Bautzen	AGBAUTZ
Sachsen	Amtsgericht Borna	AGBORNA
Sachsen	Amtsgericht Chemnitz	AGCHEMN
Sachsen	Amtsgericht Dippoldiswalde	AGDIPPO
Sachsen	Amtsgericht Döbeln	AGDOEBE
Sachsen	Amtsgericht Dresden	AGDRESD
Sachsen	Amtsgericht Eilenburg	AGEILEN
Sachsen	Amtsgericht Freiberg	AGFREI2
Sachsen	Amtsgericht Görlitz	AGGOERL
Sachsen	Amtsgericht Grimma	AGGRIMM
Sachsen	Amtsgericht Hohenstein-Ernstthal	AGHOHEN
Sachsen	Amtsgericht Hoyerswerda	AGHOYER
Sachsen	Amtsgericht Kamenz	AGKAMEN
Sachsen	Amtsgericht Leipzig	AGLEIPZ
Sachsen	Amtsgericht Marienberg	AGMARIE
Sachsen	Amtsgericht Meißen	AGMEISS
Sachsen	Amtsgericht Pirna	AGPIRNA

Sachsen	Amtsgericht Plauen	AGPLAUE
Sachsen	Amtsgericht Riesa	AGRIESA
Sachsen	Amtsgericht Torgau	AGTORGA
Sachsen	Amtsgericht Weißwasser	AGWEISW
Sachsen	Amtsgericht Zittau	AGZITTA
Sachsen	Amtsgericht Zwickau	AGZWICK
Sachsen	Arbeitsgericht Bautzen	ARGBAUT
Sachsen	Arbeitsgericht Chemnitz	ARGCHEM
Sachsen	Arbeitsgericht Dresden	ARGDRES
Sachsen	Arbeitsgericht Leipzig	ARGLEIP
Sachsen	Arbeitsgericht Zwickau	ARGZWIC
Sachsen	Landgericht Chemnitz	LGCHEMN
Sachsen	Landgericht Dresden	LGDRESD
Sachsen	Landgericht Görlitz	LGGOERL
Sachsen	Landgericht Leipzig	LGLEIPZ
Sachsen	Landgericht Zwickau	LGZWICK
Sachsen	Oberlandesgericht Dresden	OLGDRES
Sachsen	Sächsisches Finanzgericht	FGSN
Sachsen	Sächsisches Landesarbeitsgericht	LAGSN
Sachsen	Sächsisches Landessozialgericht	LSGSN
Sachsen	Sächsisches Oberverwaltungsgericht	OVGSN
Sachsen	Sozialgericht Chemnitz	SGCHEMN
Sachsen	Sozialgericht Dresden	SGDRESD
Sachsen	Sozialgericht Leipzig	SGLEIPZ
Sachsen	Verfassungsgerichtshof des Freistaates Sachsen	VERFGSN
Sachsen	Verwaltungsgericht Chemnitz	VGCHEMN
Sachsen	Verwaltungsgericht Dresden	VGDRESD
Sachsen	Verwaltungsgericht Leipzig	VGLEIPZ
Sachsen-Anhalt	Amtsgericht Aschersieben	AGASCHE
Sachsen-Anhalt	Amtsgericht Bernburg	AGBERNB
Sachsen-Anhalt	Amtsgericht Bitterfeld-Wolfen	AGBITTE
Sachsen-Anhalt	Amtsgericht Burg	AGBURG
Sachsen-Anhalt	Amtsgericht Dessau-Roßlau	AGDESSA
Sachsen-Anhalt	Amtsgericht Eisleben	AGEISLE
Sachsen-Anhalt	Amtsgericht Gardelegen	AGGARDE
Sachsen-Anhalt	Amtsgericht Halberstadt	AGHALBE
Sachsen-Anhalt	Amtsgericht Haldensleben	AGHALDE
Sachsen-Anhalt	Amtsgericht Halle (Saale)	AGHALLE
Sachsen-Anhalt	Amtsgericht Köthen	AGKOETE
Sachsen-Anhalt	Amtsgericht Magdeburg	AGMAGDE
Sachsen-Anhalt	Amtsgericht Merseburg	AGMERSE
Sachsen-Anhalt	Amtsgericht Naumburg	AGNAUMB
Sachsen-Anhalt	Amtsgericht Oschersleben	AGOSCHE
Sachsen-Anhalt	Amtsgericht Quedlinburg	AGQUEDL
Sachsen-Anhalt	Amtsgericht Salzwedel	AGSALZW
Sachsen-Anhalt	Amtsgericht Sangerhausen	AGSANGE
Sachsen-Anhalt	Amtsgericht Schönebeck	AGSBK
Sachsen-Anhalt	Amtsgericht Stendal	AGSTEND
Sachsen-Anhalt	Amtsgericht Weißenfels	AGWEISS
Sachsen-Anhalt	Amtsgericht Wernigerode	AGWERNI
Sachsen-Anhalt	Amtsgericht Wittenberg	AGWITTE
Sachsen-Anhalt	Amtsgericht Zeitz	AGZEITZ
Sachsen-Anhalt	Amtsgericht Zerbst	AGZERBS
Sachsen-Anhalt	Arbeitsgericht Dessau-Roßlau	ARBGDES
Sachsen-Anhalt	Arbeitsgericht Halle	ARBGHAL
Sachsen-Anhalt	Arbeitsgericht Magdeburg	ARBGMAG
Sachsen-Anhalt	Arbeitsgericht Stendal	ARBGSTE
Sachsen-Anhalt	Finanzgericht des Landes Sachsen-Anhalt	FGST
Sachsen-Anhalt	Landesarbeitsgericht Sachsen-Anhalt	LAGST
Sachsen-Anhalt	Landessozialgericht Sachsen-Anhalt	LSGST
Sachsen-Anhalt	Landesverfassungsgericht Sachsen-Anhalt	LVGST
Sachsen-Anhalt	Landgericht Dessau-Roßlau	LGDESSA
Sachsen-Anhalt	Landgericht Halle	LGHALLE
Sachsen-Anhalt	Landgericht Magdeburg	LGMAGDE
Sachsen-Anhalt	Landgericht Stendal	LGSTEND
Sachsen-Anhalt	Oberlandesgericht Naumburg	OLGNAUM
Sachsen-Anhalt	Oberverwaltungsgericht des Landes Sachsen-Anhalt	OVGST
Sachsen-Anhalt	Sozialgericht Dessau-Roßlau	SGDESSA
Sachsen-Anhalt	Sozialgericht Halle	SGHALLE
Sachsen-Anhalt	Sozialgericht Magdeburg	SGMAGDE
Sachsen-Anhalt	Verwaltungsgericht Halle	VGHALLE
Sachsen-Anhalt	Verwaltungsgericht Magdeburg	VGMAGDE
Schleswig-Holstein	Amtsgericht Ahrensburg	AGAHREN
Schleswig-Holstein	Amtsgericht Bad Segeberg	AGBADSE
Schleswig-Holstein	Amtsgericht Eckernförde	AGECKER
Schleswig-Holstein	Amtsgericht Elmshorn	AGELMSH
Schleswig-Holstein	Amtsgericht Eutin	AGEUTIN
Schleswig-Holstein	Amtsgericht Flensburg	AGFLENS
Schleswig-Holstein	Amtsgericht Husum	AGHUSUM
Schleswig-Holstein	Amtsgericht Itzehoe	AGITZEH
Schleswig-Holstein	Amtsgericht Kiel	AGKIEL
Schleswig-Holstein	Amtsgericht Lübeck	AGLUEBE
Schleswig-Holstein	Amtsgericht Meldorf	AGMELDO
Schleswig-Holstein	Amtsgericht Neumünster	AGNEUMU
Schleswig-Holstein	Amtsgericht Niebüll	AGNIEBU
Schleswig-Holstein	Amtsgericht Norderstedt	AGNORDE
Schleswig-Holstein	Amtsgericht Oldenburg (Holstein)	AGOLDEN
Schleswig-Holstein	Amtsgericht Pinneberg	AGPINNE
Schleswig-Holstein	Amtsgericht Plön	AGPLOEN
Schleswig-Holstein	Amtsgericht Ratzeburg	AGRATZE
Schleswig-Holstein	Amtsgericht Reinbek	AGREINB
Schleswig-Holstein	Amtsgericht Rendsburg	AGRENDS
Schleswig-Holstein	Amtsgericht Schleswig	AGSCHLE
Schleswig-Holstein	Amtsgericht Schwarzenbek	AGSCHW4
Schleswig-Holstein	Arbeitsgericht Elmshorn	ARBGELM
Schleswig-Holstein	Arbeitsgericht Flensburg	ARBGFLE



Schleswig-Holstein	Arbeitsgericht Kiel	ARBGKIE
Schleswig-Holstein	Arbeitsgericht Luebeck	ARBGLUE
Schleswig-Holstein	Arbeitsgericht Neumünster	ARBGNMS
Schleswig-Holstein	Landesarbeitsgericht Schleswig-Holstein	LARBGSH
Schleswig-Holstein	Landgericht Flensburg	LGFLENS
Schleswig-Holstein	Landgericht Itzehoe	LGITZEH
Schleswig-Holstein	Landgericht Kiel	LGKIEL
Schleswig-Holstein	Landgericht Lübeck	LGLUEBE
Schleswig-Holstein	Schleswig Holsteinisches Oberverwaltungsgericht	OVGSH
Schleswig-Holstein	Schleswig-Holsteinisches Finanzgericht	FGSH
Schleswig-Holstein	Schleswig-Holsteinisches Landessozialgericht	LSGSH
Schleswig-Holstein	Schleswig-Holsteinisches Landesverfassungsgericht	LVGSH
Schleswig-Holstein	Schleswig-Holsteinisches Oberlandesgericht	OLGSH
Schleswig-Holstein	Schleswig-Holsteinisches Verwaltungsgericht	VGSH
Schleswig-Holstein	Sozialgericht Itzehoe	SGITZEH
Schleswig-Holstein	Sozialgericht Kiel	SGKIEL
Schleswig-Holstein	Sozialgericht Luebeck	SGLUEBE
Schleswig-Holstein	Sozialgericht Schleswig	SGSCHLE
Thüringen	Amtsgericht Altenburg	AGALTEN
Thüringen	Amtsgericht Apolda	AGAPOLD
Thüringen	Amtsgericht Arnstadt	AGARNST
Thüringen	Amtsgericht Bad Salzungen	AGBADSA
Thüringen	Amtsgericht Eisenach	AGEA
Thüringen	Amtsgericht Erfurt	AGERFUR
Thüringen	Amtsgericht Gera	AGGERA
Thüringen	Amtsgericht Gotha	AGGOTHA
Thüringen	Amtsgericht Greiz	AGGREIZ
Thüringen	Amtsgericht Heilbad Heiligenstadt	AGHEILB
Thüringen	Amtsgericht Hildburghausen	AGHILDB
Thüringen	Amtsgericht Jena	AGJENA
Thüringen	Amtsgericht Meiningen	AGMEINI
Thüringen	Amtsgericht Mühlhausen	AGMUEHL
Thüringen	Amtsgericht Nordhausen	AGNORDH
Thüringen	Amtsgericht Pößneck	AGPOESS
Thüringen	Amtsgericht Rudolstadt	AGRUDOL
Thüringen	Amtsgericht Sömmerda	AGSOEMM
Thüringen	Amtsgericht Sondershausen	AGSONDE
Thüringen	Amtsgericht Sonneberg	AGSONNE
Thüringen	Amtsgericht Stadtroda	AGSTADT
Thüringen	Amtsgericht Suhl	AGSUHL
Thüringen	Amtsgericht Weimar	AGWEIMA
Thüringen	Arbeitsgericht Erfurt	ARBGERF
Thüringen	Arbeitsgericht Gera	ARBGERA
Thüringen	Arbeitsgericht Nordhausen	ARBGNOR
Thüringen	Arbeitsgericht Suhl	ARBGSUH
Thüringen	Landgericht Erfurt	LGERFUR
Thüringen	Landgericht Gera	LGGERA
Thüringen	Landgericht Meiningen	LGMEINI
Thüringen	Landgericht Mühlhausen	LGMUEHL
Thüringen	Sozialgericht Altenburg	SGALTEN
Thüringen	Sozialgericht Gotha	SGGOTHA
Thüringen	Sozialgericht Meiningen	SGMEINI
Thüringen	Sozialgericht Nordhausen	SGNORDH
Thüringen	Thüringer Finanzgericht	FGTH
Thüringen	Thüringer Landesarbeitsgericht	LAGTH
Thüringen	Thüringer Landessozialgericht	LSGTH
Thüringen	Thüringer Oberlandesgericht	OLGTH
Thüringen	Thüringer Oberverwaltungsgericht	OVGTH
Thüringen	Thüringer Verfassungsgerichtshof	VERFGHT
Thüringen	Verwaltungsgericht Gera	VGGERA
Thüringen	Verwaltungsgericht Meiningen	VGMEINI
Thüringen	Verwaltungsgericht Weimar	VGWEIMA
